#{"t_start": 1713284787.1617033, "env_id": "None"}
r,l,t
2336.370278,107,33108.991311
1929.597858,87,33128.404324
1460.476197,55,33140.764935
309.325223,16,33144.554562
2891.116923,123,33178.921238
475.756893,22,33183.772083
2489.339528,124,33211.65348
201.489525,11,33214.086507
159.992281,18,33218.133657
132.942513,10,33243.10282
1076.222232,63,33257.299341
3758.236286,155,33292.550818
529.328177,27,33298.3006
2028.698057,86,33317.814035
356.995199,23,33323.363481
2125.214152,78,33358.894675
374.827955,21,33364.547364
2441.931493,94,33386.460002
736.7883,38,33394.728982
971.327338,45,33404.543822
858.494021,57,33438.893974
3619.021226,147,33471.790062
5415.521356,214,33516.920759
2412.19127,104,33540.706091
480.246171,39,33549.339248
1105.530277,47,33560.389944
1260.992439,48,33571.255247
517.076153,26,33578.487249
1390.921705,59,33592.15477
1479.469276,62,33606.117377
446.593237,25,33612.068786
1002.132527,44,33621.573714
821.703164,65,33636.818874
1469.766488,56,33659.686638
355.393097,23,33665.486331
447.271517,25,33671.347774
191.456936,15,33674.716953
570.980064,35,33682.634096
725.967507,31,33712.833505
4969.615841,205,33758.598671
423.543124,31,33765.394889
5502.337013,225,33814.843798
147.679773,14,33817.876649
343.947001,22,33823.046137
877.27514,37,33849.326028
710.183858,46,33859.493559
2025.594218,98,33881.342014
2403.169425,129,33909.872416
2268.817097,99,33931.754519
2031.279722,94,33953.056459
1131.468385,49,33965.764203
5572.464558,200,34014.872291
1041.108996,53,34026.838071
452.396813,25,34032.502588
234.523877,24,34037.402377
265.52056,18,34064.701608
3394.115265,127,34092.835446
399.216257,26,34098.898273
1144.884994,58,34112.047877
3197.677649,114,34137.633557
770.310809,33,34145.166609
139.716059,16,34148.697571
137.030523,13,34151.728525
460.708474,27,34166.564224
6521.21493,280,34230.079926
3262.201149,117,34256.296013
3651.487022,127,34284.760494
406.405157,32,34291.809218
808.823107,56,34304.575949
186.610993,21,34309.28938
1603.988074,73,34331.414627
4099.582347,160,34366.823095
94.903445,10,34369.32192
1629.65369,80,34387.238089
1508.658858,58,34400.08892
1334.36062,60,34414.939126
1180.814617,62,34438.336306
132.890605,23,34443.288317
515.97914,26,34449.250974
950.514942,44,34458.786289
2177.890673,75,34475.717885
104.469682,15,34479.019511
1832.143393,80,34517.234999
1444.130793,59,34530.532777
1392.759771,67,34545.550365
1949.175345,86,34565.066087
3684.171801,160,34602.4121
1405.614124,65,34620.497485
1973.059002,84,34649.012651
358.407038,24,34654.645854
2879.206652,112,34680.645429
1369.63752,68,34696.02767
2769.257327,126,34724.3599
727.569139,32,34731.759938
838.321921,46,34742.056268
65.167486,16,34746.140867
1321.966143,56,34760.621912
153.982116,19,34764.75704
2746.168502,120,34790.407025
146.722029,11,34792.822356
738.141003,33,34800.622159
671.732738,31,34808.023141
2359.778112,115,34850.188009
1012.162491,48,34862.103891
108.660894,9,34864.737469
138.087914,12,34867.438247
493.647698,23,34873.434851
783.254224,35,34882.383765
157.633032,14,34902.668854
1652.266832,73,34919.948696
620.035505,38,34928.737919
1163.498686,56,34941.898271
1284.510997,45,34952.699592
1915.207914,81,34971.86533
3864.60896,152,35011.347386
1417.169687,68,35027.01411
262.409423,26,35032.846117
4689.533193,180,35073.546124
2294.265066,80,35092.27757
564.491481,33,35100.027575
79.087563,17,35103.842244
1199.653104,60,35129.226953
1566.343893,57,35142.139866
1765.408135,72,35158.522961
760.467269,33,35166.17418
2784.904043,108,35190.506597
1102.718925,59,35204.30519
