#{"t_start": 1712989102.967028, "env_id": "None"}
r,l,t
0.0,494,45511.400659
0.0,505,45631.676837
0.0,497,45773.554752
0.0,494,45894.050493
0.0,498,46014.512401
0.0,507,46134.84078
0.0,504,46255.301812
0.0,496,46398.861459
0.0,500,46519.191831
0.0,507,46639.454523
0.0,498,46759.8006
0.0,500,46880.262168
0.0,494,47023.754935
0.0,505,47144.233453
0.0,506,47264.513323
0.0,507,47384.993045
0.0,500,47505.284778
0.0,503,47649.69617
0.0,486,47770.058455
0.0,509,47890.686895
0.0,508,48011.100993
0.0,499,48131.445611
0.0,775,48275.29043
0.0,783,48395.586059
0.0,796,48515.793781
0.0,777,48635.99091
0.0,780,48756.387602
0.0,794,48899.23126
0.0,789,49019.543109
0.0,799,49139.987558
0.0,791,49260.33353
0.0,789,49380.593426
0.0,496,49526.188093
0.0,502,49646.434399
0.0,503,49766.712799
0.0,483,49887.106928
0.0,507,50007.404923
0.0,496,50152.213799
0.0,507,50272.623316
0.0,509,50393.020959
0.0,504,50513.338039
0.0,498,50633.742465
0.0,496,50778.319075
0.0,499,50898.751925
0.0,495,51019.04773
0.0,488,51139.442634
0.0,497,51259.850648
0.0,506,51404.933349
0.0,509,51525.209183
0.0,502,51645.605675
0.0,502,51766.04931
0.0,506,51886.27947
0.0,607,52030.123487
0.0,601,52150.414966
0.0,607,52270.828823
0.0,617,52391.091821
0.0,610,52511.534956
0.0,472,52655.797853
0.0,507,52776.327011
0.0,507,52896.753139
0.0,496,53017.000858
0.0,491,53137.277122
0.0,499,53281.389325
0.0,510,53401.668027
0.0,508,53522.013973
0.0,505,53642.45977
0.0,501,53762.92128
0.0,504,53908.145672
0.0,500,54028.559264
0.0,500,54148.904605
0.0,518,54269.246144
0.0,501,54389.72876
0.0,610,54534.036572
0.0,603,54654.283175
0.0,609,54774.509713
0.0,617,54894.77337
0.0,609,55015.104294
0.0,500,55159.546644
0.0,492,55279.774342
0.0,495,55400.186148
0.0,508,55520.482649
0.0,500,55640.859222
0.0,507,55781.841528
0.0,495,55902.200841
0.0,499,56022.596879
0.0,507,56142.906979
0.0,507,56263.338356
0.0,608,56404.783424
0.0,614,56525.14247
0.0,614,56645.388931
0.0,607,56765.714196
0.0,611,56885.942558
0.0,494,57029.688529
0.0,499,57150.202059
0.0,497,57270.513809
0.0,512,57390.809249
0.0,499,57511.18509
0.0,493,57653.782326
0.0,492,57774.090582
0.0,506,57894.437463
0.0,500,58014.664201
0.0,500,58135.12927
0.0,508,58278.155041
0.0,506,58398.435016
0.0,501,58518.82724
0.0,507,58639.274823
0.0,494,58759.801613
0.0,502,58904.180938
0.0,508,59024.459308
0.0,509,59144.787997
0.0,509,59265.232997
0.0,502,59385.659857
0.0,509,59529.854892
0.0,496,59650.168305
0.0,504,59770.397296
0.0,494,59890.724114
0.0,507,60011.101037
0.0,488,60153.945878
0.0,506,60274.429842
0.0,507,60394.871485
0.0,498,60515.232896
0.0,501,60635.464774
0.0,501,60778.090082
0.0,503,60898.400828
0.0,494,61018.777415
