#{"t_start": 1713072229.9904199, "env_id": "None"}
r,l,t
8780.603127,180,6011.449713
7521.224049,118,6036.997338
1137.276143,28,6043.145269
70.260313,13,6046.28057
1835.215909,40,6055.447315
2128.295081,51,6066.913494
2694.627451,64,6091.561856
2327.963138,39,6100.094019
3258.805957,48,6110.741575
26964.29034,404,6198.754857
30571.143258,554,6319.101712
3681.219956,61,6354.315517
21545.387348,357,6431.56792
7496.808154,113,6456.630288
7220.147404,118,6482.028607
2540.357642,50,6493.129515
3159.870882,52,6526.69352
2712.724316,54,6538.39559
2774.675113,62,6552.527804
1369.315881,31,6559.640751
19802.235032,278,6620.15628
1756.443025,49,6631.372126
17899.520233,281,6704.937079
18041.748048,267,6763.63567
10364.613168,133,6792.882816
1224.394584,29,6799.213104
17852.025824,297,6864.714489
17249.334622,233,6939.095694
4946.741436,77,6956.075557
4517.68132,85,6975.041544
5991.099832,121,7001.426037
9944.051752,138,7032.040212
14522.493871,228,7105.072131
5863.610776,103,7127.687356
2518.652826,56,7140.319014
27916.053693,463,7240.048077
1626.584743,30,7246.732376
6713.017753,126,7297.698
13792.320243,209,7346.097357
1647.658587,36,7354.326123
4632.759366,84,7373.190145
18788.359486,279,7435.007532
92.386289,30,7441.707227
1018.947506,27,7447.740756
1762.550191,47,7468.355313
3532.038978,75,7484.62179
1388.733304,38,7493.105434
6811.789755,117,7519.036323
5952.165271,79,7536.668503
3927.928335,95,7557.502352
7192.093066,112,7583.848632
3740.065688,66,7598.419284
2026.25944,52,7610.065791
7138.322767,130,7638.365345
7837.763211,133,7667.566153
4997.144832,83,7685.880468
10976.898972,161,7725.047119
1143.229856,48,7735.96122
2569.130491,47,7746.709561
18993.234357,259,7803.510064
20836.14906,551,7923.78878
457.180817,20,7928.503535
10288.863031,139,7976.8864
12103.555748,244,8030.333918
-216.725696,18,8034.232376
11098.826691,187,8075.314237
5666.785899,111,8099.645893
1939.539642,53,8133.763359
10477.927019,197,8177.328792
2120.957158,62,8190.92708
1395.709196,32,8197.976227
1512.620259,38,8206.561406
7755.107658,100,8228.775733
4109.378273,71,8245.00828
5799.237329,92,8265.192582
12992.492274,186,8306.337476
2117.002109,72,8321.58785
9860.811913,148,8353.235886
1215.988421,37,8361.485255
2607.075708,40,8370.53714
7747.601711,148,8408.486452
1382.987936,34,8416.399892
5602.944612,78,8433.450885
15569.297008,239,8484.348981
1793.940455,48,8495.280602
-410.828601,20,8499.614501
2209.693145,60,8530.761879
7783.355291,99,8552.862379
5227.617713,68,8568.596147
10842.220204,171,8605.663556
7259.277465,121,8631.744337
1832.146747,57,8667.758044
291.635321,11,8670.37622
42628.931488,552,8790.719206
3535.958858,101,8812.468699
12975.035448,180,8851.966563
885.754476,22,8856.71761
10232.390368,115,8899.532563
1334.653428,29,8906.147731
6173.866148,69,8921.112154
2380.664033,45,8930.940319
-264.363678,19,8935.082403
-252.190082,14,8937.99641
4858.231145,75,8954.414434
2399.903836,57,8970.01023
4310.157098,76,8986.979599
2831.253647,44,8997.075287
5075.482892,101,9019.178232
1218.529654,35,9026.926204
2602.98521,77,9044.058704
-453.655597,14,9052.776421
3682.357063,66,9067.610274
-131.888181,14,9070.658091
188.396232,9,9072.992138
7921.057345,122,9100.292221
657.870241,30,9107.13807
1713.255195,538,9243.903039
1346.023521,550,9364.23107
1859.393243,551,9484.557782
1836.013202,555,9604.887552
1647.998854,548,9725.233532
1345.82779,33,9755.598809
2060.469944,552,9875.977478
1436.724093,543,9996.320338
1382.932855,554,10116.651505
2130.922675,546,10237.029122
1644.180381,550,10380.206596
1776.690257,549,10500.551553
1347.128855,554,10620.877504
1552.354943,544,10741.171833
1403.857074,543,10861.52127
3653.681089,58,10874.404818
1272.423251,555,11004.714838
974.813511,554,11125.059431
6735.780943,110,11148.474031
1384.223666,555,11268.904638
1596.003578,554,11389.366275
371.482837,551,11532.225262
6197.209028,146,11563.359228
12177.824101,160,11597.973527
258.31656,548,11718.437303
3167.210963,62,11732.467859
4501.265144,52,11743.95262
1135.288726,553,11875.2342
1753.612002,38,11883.645936
1114.860519,550,12003.991092
4241.289515,83,12022.203953
1476.976871,554,12142.484063
1040.573252,38,12150.884507
290.764796,541,12285.227704
961.532942,551,12405.491732
966.437534,553,12525.836785
3428.465379,552,12646.148342
6406.276169,93,12665.71657
1735.574671,543,12809.225011
1630.572288,38,12817.638941
1376.376488,35,12825.374945
8784.247975,113,12850.491467
3930.874914,48,12860.988392
1144.76286,549,13003.636717
2042.011019,550,13124.112568
492.726534,548,13244.326478
4514.87918,57,13257.305428
1499.448103,554,13377.534975
395.735749,553,13520.014691
1024.413523,555,13640.442974
976.023521,546,13760.788185
1171.414631,542,13881.050223
511.826885,541,14001.427345
-397.331162,549,14144.303838
368.30097,19,14148.707372
3110.004148,71,14164.472408
1390.422814,553,14284.832721
1267.262546,547,14405.062179
442.868143,12,14407.892795
447.650132,18,14411.930498
4031.325398,63,14441.728012
337.440788,21,14446.394089
640.833502,545,14566.723574
3615.53023,60,14579.653833
7825.142822,129,14608.386148
1034.463345,23,14613.936973
6805.915487,550,14751.69616
1490.329191,548,14872.045701
241.080329,548,14992.338534
578.944407,37,15000.434422
1049.019999,552,15120.882976
1031.762502,551,15263.941785
960.051336,549,15384.208008
6539.204144,240,15435.687
952.245355,548,15555.947568
1657.916975,545,15676.243795
-412.588534,33,15683.708867
6826.036886,85,15717.609116
4176.100599,64,15731.207971
1322.051146,35,15739.191682
471.066749,19,15743.62517
3808.711978,62,15757.33876
1653.304103,33,15764.992643
1360.555838,112,15805.206369
543.101995,547,15925.502403
6035.840718,77,15942.116851
2982.415697,153,15975.19756
5513.676878,258,16032.648791
3134.367346,53,16044.127638
1579.733351,32,16051.463805
994.040595,553,16175.510084
3270.1967,58,16188.340227
1547.199516,553,16308.649561
278.436544,19,16312.967418
2748.443876,45,16322.851641
4553.585959,67,16338.217842
1144.661521,551,16465.862345
910.651381,549,16586.258171
108.115801,544,16706.468831
959.308751,545,16826.86618
1479.112745,21,16831.62924
473.229465,553,16974.87729
5048.477947,80,16992.34254
14538.673977,212,17038.391853
1408.441261,546,17158.769936
524.307079,556,17279.127639
207.039546,554,17422.009315
1103.698351,548,17542.402521
1180.863286,541,17662.913555
989.829923,546,17783.22781
1047.245798,554,17903.639754
10448.153413,126,17953.887516
3084.419211,58,17966.400835
543.677076,28,17972.720347
5678.57551,332,18046.532327
529.083197,18,18050.847464
6315.050989,77,18068.032883
391.604375,17,18077.544942
1505.735029,547,18197.945819
11402.188357,139,18228.057421
1603.859174,39,18236.808054
103.16351,12,18239.792098
7426.250699,98,18261.490926
433.084743,547,18382.585475
57.533156,549,18502.847743
9308.812129,130,18531.311917
626.296319,551,18651.610373
378.578498,557,18772.07259
3044.788046,50,18783.588637
-32.645908,548,18915.413574
890.182049,546,19035.824214
653.43341,555,19156.14045
570.591485,560,19276.384353
683.42051,548,19396.697972
1282.107196,94,19418.025988
282.057908,21,19424.544503
3383.223109,558,19544.804671
-99.916344,564,19665.068052
4162.097242,58,19677.88394
414.820488,16,19681.486236
2886.575707,31,19688.565676
2107.32791,75,19720.050269
